accommodates,bathrooms,bedrooms,beds,price,latitude,longitude,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,property_type,room_type,amenities,neighbourhood_cleansed,city,state,zipcode,market,has_availability,calendar_updated,last_scraped
2,1,1,1,60,30.32321866,-97.73521196,1,1125,8,38,68,343,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials}",78756,Austin,TX,78756,Austin,t,3 weeks ago,11/8/15
6,1.5,2,3,185,30.32289182,-97.73069592,3,1125,13,28,28,247,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,2 months ago,11/8/15
3,1,2,2,90,30.31908209,-97.73085676,1,1125,0,0,0,68,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Gym,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials}",78756,Austin,TX,78751,Austin,t,3 months ago,11/8/15
2,1,1,1,49,30.31933338,-97.74138955,1,1125,0,0,0,273,House,Private room,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,2 weeks ago,11/8/15
6,2,3,2,600,30.30661797,-97.74358999,2,5,0,0,0,17,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,5 weeks ago,11/7/15
2,1,0,1,100,30.31504002,-97.74488399,2,1125,0,18,48,323,Apartment,Entire home/apt,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector""}",78756,Austin,TX,78756,Austin,t,3 months ago,11/8/15
4,1,2,2,172,30.33324336,-97.7406983,2,180,0,5,35,310,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly""}",78756,Austin,TX,78756,Austin,t,today,11/8/15
6,1,1,3,150,30.32965732,-97.73582251,3,1125,0,0,0,241,Apartment,Entire home/apt,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,8 months ago,11/8/15
3,1,1,1,200,30.31825352,-97.74376658,1,1125,0,0,0,7,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),Washer,Dryer}",78756,Austin,TX,78756,Austin,t,5 weeks ago,11/7/15
2,1,0,1,85,30.3266088,-97.73167385,1,1125,18,38,68,158,Apartment,Entire home/apt,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Hangers,Iron}",78756,Austin,TX,78756,Austin,t,today,11/7/15
